state,text
intro," I am going to say some numbers. Listen carefully, I can only say them one time. When I am through I want you to say the numbers backward. For example, if I say seven one, then you would say one seven."
confirmation,Are you ready?
backward_digits,"three, one"
backward_digits,"two, four"
backward_digits,"four, six,"
backward_digits,"five, seven"
backward_digits,"six, two, nine"
backward_digits,"four, seven, five"
backward_digits,"nine, seven, two, eight"
backward_digits,"four, nine, six, eight"
backward_digits,"six, five, eight, four, three"
backward_digits,"one, five, four, eight, six"
backward_digits,"five, three, seven, four, one, eight"
backward_digits,"seven, two, four, eight, five, six"
backward_digits,"eight, one, four, nine, three, six, two"
backward_digits,"four, seven, three, nine, six, tow, eight"
backward_digits,"nine, four, three, seven, six, two, one, eight"
backward_digits,"seven, two, eight, one, five, six, four, three"
intro,"Now I am going to say some more numbers. After I say them, I want you to tell me the numbers in order, starting with lowest number. If I say: two, three, one. Then, you would say: one, two, three."
sequence_digits,"one, two"
sequence_digits,"four, two"
sequence_digits,"three, one, six"
sequence_digits,"zero, nine, four"
sequence_digits,"eight, seven, nine, two"
sequence_digits,"four, eight, seven, one"
sequence_digits,"two, six, nine, one, seven"
sequence_digits,"three, eight, three, five, eight"
sequence_digits,"two, one, seven, four, three, six"
sequence_digits,"six, two, five, two, three, four"
sequence_digits,"seven, five, seven, six, eight, six, two"
sequence_digits,"four, eight, two, five, four, three, five"
sequence_digits,"five, eight, seven, two, seven, five, four, five"
sequence_digits,"nine, four, nine, seven, three, zero, eight, four"
sequence_digits,"five, zero, one, one, three, two, one, zero, five"
sequence_digits,"two, seven, one, four, eight, four, two, nine, six"
conclusion,Now we will continue to the next part of the experiment.
